epoch;acc_x;acc_y
1965.0356;0.05355;0.09722
1965.2523;0.01057;0.12774
1965.469;-0.04753;0.13958
1965.6857;-0.11284;0.1246
1965.9024;-0.1638;0.09449
1966.1191;-0.19186;0.07666
1966.3358;-0.19641;0.06645
1966.5525;-0.20426;0.0601
1966.7692;-0.21917;0.07133
1966.9859;-0.22593;0.07041
1967.2026;-0.21208;0.06432
1967.4193;-0.16894;0.04372
1967.636;-0.11779;0.00352
1967.8527;-0.06096;-0.02927
1968.0694;-0.01858;-0.06461
1968.2861;0.02644;-0.08343
1968.5028;0.07475;-0.09797
1968.7195;0.133;-0.09939
1968.9362;0.19357;-0.08523
1969.1529;0.23385;-0.08471
1969.3696;0.24772;-0.09468
1969.5863;0.23702;-0.10884
1969.803;0.22855;-0.12433
1970.0197;0.21789;-0.13059
1970.2364;0.19739;-0.11249
1970.4531;0.15164;-0.08815
1970.6698;0.08597;-0.0678
1970.8865;0.01604;-0.03822
1971.1032;-0.04865;-0.01515
1971.3199;-0.09829;-0.00531
1971.5366;-0.14374;0.00434
1971.7533;-0.18973;0.0107
1971.97;-0.2374;0.01416
1972.1867;-0.26917;0.02663
1972.4034;-0.27519;0.04345
1972.6201;-0.25638;0.0623
1972.8368;-0.21953;0.07845
1973.0535;-0.18098;0.09204
1973.2702;-0.14678;0.10144
1973.4869;-0.10162;0.09752
1973.7036;-0.03323;0.08593
1973.9203;0.04055;0.07876
1974.137;0.09885;0.06813
1974.3537;0.1384;0.06652
1974.5704;0.16403;0.07573
1974.7871;0.19722;0.07882
1975.0038;0.22887;0.07627
1975.2205;0.25116;0.06603
1975.4372;0.25024;0.04083
1975.6539;0.23416;0.00997
1975.8706;0.20268;-0.01148
1976.0873;0.16415;-0.02379
1976.304;0.12765;-0.03883
1976.5207;0.07993;-0.03773
1976.7374;0.0179;-0.0341
1976.9541;-0.05142;-0.03538
1977.1708;-0.11122;-0.03502
1977.3875;-0.15958;-0.04747
1977.6042;-0.19294;-0.06495
1977.8209;-0.21844;-0.07616
1978.0376;-0.24018;-0.07679
1978.2543;-0.2508;-0.06259
1978.471;-0.23763;-0.0479
1978.6877;-0.20757;-0.029
1978.9044;-0.17879;-0.02203
1979.1211;-0.14085;-0.03269
1979.3378;-0.08708;-0.04746
1979.5545;-0.02351;-0.05465
1979.7712;0.04083;-0.05136
1979.9879;0.09304;-0.0425
1980.2046;0.13987;-0.02138
1980.4213;0.18474;0.00591
1980.638;0.22321;0.02046
1980.8547;0.25575;0.02301
1981.0714;0.25443;0.02053
1981.2881;0.23366;0.00806
1981.5048;0.19308;0.0066
1981.7215;0.16056;0.0176
1981.9382;0.11126;0.03703
1982.1549;0.05702;0.05611
1982.3716;-0.00919;0.06125
1982.5883;-0.07788;0.05643
1982.805;-0.1335;0.04861
1983.0217;-0.17156;0.02985
